PolicyId,Year,Month,PrevMonth,MeanTimeBetween,TimingProb,TargetMean,Efm,EfmI,EfmD,EstimatedPayout,ActualPayout,PercentError,,,EstimatedPayout,ActualPayout,PercentError
1413,2016,April,June,0,0,0,0,0,0,0,0,0,,,,,
1421,2016,April,January,2,0.75,166.76,-1.0258799969,0,0,253.38,263.02,-3.6651205232,,,,,
1430,2016,April,March,2,1.0833333333,213.682,-0.0305798253,0,0,238.57,0,100,,,,,
1432,2016,April,March,4.5,1.14,793.75,0,0,0,904.87,0,100,,,,,
1499,2016,April,December,0,0,1355.14,0,0,0,0,0,0,,,,,
1533,2016,April,August,0,0,161.48,0,0,0,0,0,0,,,,,
1601,2016,April,January,3,0,134.39,0,0,0,0,0,0,,,,,
1610,2016,April,August,0,0,0,0,0,0,0,0,0,,,,,
1618,2016,April,April,1.1,1.6111111111,55.9709090909,0.032148598,0,0,87.28,43.17,102.1774380357,,,,,
1642,2016,April,March,2,1.25,3.8066666667,0,0,0,4.76,0,100,,,,,
1652,2016,April,January,1,0,1030.1466666667,-0.5703523954,0,0,0,0,0,,,,,
1657,2016,April,March,1.5,1.1666666667,56.2042857143,0.4890137328,0,0,33.51,0,100,,,,,
1660,2016,April,April,1.8,1.1323529412,41.6433333333,0,0,0,47.15,11.36,315.0528169014,,,,,
1676,2016,April,September,0,0,184.81,0,0,0,0,0,0,,,,,
1745,2016,April,February,3.5,0,98.84,0,0,0,0,0,0,,,,,
1756,2016,April,April,1.5,1.5,222.1914285714,-0.2216945405,0,0,407.18,108.3,275.974145891,,,,,
1785,2016,April,March,4.5,0,193.8833333333,-0.7559462843,0,0,0,0,0,,,,,
1787,2016,April,October,0,0,0,0,0,0,0,0,0,,,,,
1804,2016,April,April,2,1.5,223.526,-0.1041237113,0,0,370.2,84.86,336.2479377799,,,,,
1809,2016,April,January,1.5,0,23.4533333333,0,0,0,0,0,0,,,,,
1822,2016,April,January,1,0,1527.79,-0.0091106002,0,0,0,0,0,,,,,
1872,2016,April,January,5.5,0,131.1533333333,-0.8346414934,0,0,0,0,0,,,,,
1938,2016,April,February,3.6666666667,1.0446428571,577.7825,1,0,0,0,0,0,,,,,
1967,2016,April,December,0,0,115.85,0,0,0,0,0,0,,,,,
1989,2016,April,June,0,0,4.28,0,0,0,0,0,0,,,,,
1990,2016,April,January,4.5,1.06,42.8933333333,-0.2988130564,0,0,59.05,0,100,,,,,
2006,2016,April,March,2.3333333333,1.0625,111.0375,0.0590242669,0,0,111.01,0,100,,,,,
2008,2016,April,January,1.5,0,78.3633333333,-0.0278406125,0,0,0,0,0,,,,,
2063,2016,April,July,0,0,78.58,0,0,0,0,0,0,,,,,
2071,2016,April,June,0,0,346.83,0,0,0,0,0,0,,,,,
2100,2016,April,April,1.2222222222,1.3928571429,178.595,0.135770235,0,0,214.98,99.65,115.7350727546,,,,,
2149,2016,April,January,11,0,84.99,-0.2910461653,0,0,0,0,0,,,,,
2202,2016,April,January,4,0,22.5,0,0,0,0,0,0,,,,,
2223,2016,April,January,2,0,182.425,0,0,0,0,0,0,,,,,
2298,2016,April,December,0,0,5.96,0,0,0,0,0,0,,,,,
2328,2016,April,January,2.3333333333,0.5,40.1775,0,0,0,20.09,0,100,,,,,
2339,2016,April,March,4.5,0,76.8866666667,0,0,0,0,0,0,,,,,
2358,2016,April,April,2,1.5,73.305,-0.2291067403,0,0,135.15,45.86,194.7012647187,,,,,
2371,2016,April,January,3,0,55.845,0,0,0,0,111.69,-100,,,,,
2391,2016,April,January,1,0,109.7,-0.1114749562,0,0,0,0,0,,,,,
2413,2016,April,January,7,0,25.96,-1.3595988539,0,0,0,32.94,-100,,,,,
2450,2016,April,April,1.125,1.6428571429,56.4155555556,0.0387789224,0,0,89.09,20.9,326.2679425837,,,,,
2495,2016,April,April,3,0,71.45,0,0,0,0,142.9,-100,,,,,
2516,2016,April,February,8,0,293.455,-0.3521008159,0,0,0,0,0,,,,,
2555,2016,April,January,2,0.75,21.98,0,0,0,16.48,44.94,-63.3288829551,,,,,
2603,2016,April,August,0,0,0,0,0,0,0,0,0,,,,,
2604,2016,April,February,3,0,50.91,-0.1579219437,0,0,0,0,0,,,,,
2665,2016,April,January,1.6666666667,0,690.15,-0.098589068,0,0,0,725.08,-100,,,,,
2715,2016,April,March,1.375,1.1,34.0255555556,0,0,0,37.43,0,100,,,,,
2747,2016,April,March,1.375,1.0483870968,183.5944444444,0.1359725743,0,0,166.31,0,100,,,,,
2795,2016,April,September,0,0,44.41,0,0,0,0,0,0,,,,,
2821,2016,April,April,0,0,0,0,0,0,0,0,0,,,,,
2849,2016,April,March,0,0,19.93,0,0,0,0,0,0,,,,,
2893,2016,April,January,8,0,119.68,0,0,0,0,0,0,,,,,
2937,2016,April,September,0,0,47.89,0,0,0,0,0,0,,,,,
2988,2016,April,August,0,0,104.57,0,0,0,0,0,0,,,,,
3005,2016,April,March,1.2222222222,1.0714285714,68.81,0.2934633171,0,0,52.09,0,100,,,,,
3049,2016,April,April,1.2222222222,1.3928571429,112.907,0,0,0,157.26,243.16,-35.3265339694,,,,,
3084,2016,April,February,2.2,1.0078125,182.315,0.3077636739,0,0,127.19,0,100,,,,,
3087,2016,April,February,1,0,8.33,1,0,0,0,0,0,,,,,
3100,2016,April,March,1.8,1.0588235294,80.0633333333,0.4453476623,0,0,47.02,0,100,,,,,
3121,2016,April,January,5,0,184.705,0,0,0,0,0,0,,,,,
3129,2016,April,April,1.2222222222,1.3928571429,93.863,0.197888449,0,0,104.87,56.98,84.047034047,,,,,
3183,2016,April,March,2.25,1.1315789474,463.686,-0.0365560432,0,0,543.88,0,100,,,,,
3207,2016,April,December,0,0,86.61,0,0,0,0,0,0,,,,,
3227,2016,April,March,3,1.0714285714,366.905,-0.1476369199,0,0,451.15,0,100,,,,,
3235,2016,April,April,1.8,1.1323529412,115.1883333333,0,0,0,130.43,0,100,,,,,
3290,2016,April,November,0,0,2032,0,0,0,0,0,0,,,,,
3296,2016,April,January,5,0,65.86,-0.055923778,0,0,0,0,0,,,,,
3315,2016,April,April,3,0,124.75,0,0,0,0,249.5,-100,,,,,
3318,2016,April,January,7,0,186.255,-0.2075751244,0,0,0,54.64,-100,,,,,
3353,2016,April,January,2.3333333333,0.875,224.335,-0.0241210784,0,0,201.03,0,100,,,,,
3358,2016,April,January,1,0,0,0,0,0,0,0,0,,,,,
3366,2016,April,February,4,0,55.36,0,0,0,0,0,0,,,,,
3367,2016,April,January,3,0,0,0,0,0,0,0,0,,,,,
3372,2016,April,March,3,0,83.455,-1.288960343,0,0,0,0,0,,,,,
3409,2016,April,January,3.3333333333,1.0051020408,197.785,-0.0453279803,0,0,207.81,0,100,,,,,
3439,2016,April,March,1.3333333333,1.25,86.8525,0.6304749716,0,0,40.12,0,100,,,,,
3466,2016,April,April,0,0,59.16,0,0,0,0,59.16,-100,,,,,
3515,2016,April,January,0,0,96.9,0,0,0,0,0,0,,,,,
3531,2016,April,April,1.375,1.3666666667,589.1611111111,0.1789575493,0,0,661.09,511.25,29.3085574572,,,,,
3576,2016,April,January,1,0,471.425,-0.0576102418,0,0,0,0,0,,,,,
3578,2016,April,February,2,1,119.305,-0.029810008,0,0,122.86,0,100,,,,,
3612,2016,April,January,1,0,0,0,0,0,0,0,0,,,,,
3619,2016,April,July,0,0,72.13,0,0,0,0,0,0,,,,,
3625,2016,April,February,2.6666666667,1.0714285714,132.2,-0.1931247586,0,0,169,0,100,,,,,
3649,2016,April,August,0,0,158.29,0,0,0,0,0,0,,,,,
3655,2016,April,August,0,0,175.45,0,0,0,0,0,0,,,,,
3664,2016,April,August,0,0,38.34,0,0,0,0,0,0,,,,,
3692,2016,April,April,4.5,1.0918367347,0.7866666667,0,0,0,0.86,0,100,,,,,
3711,2016,April,March,0,0,0,0,0,0,0,0,0,,,,,
3738,2016,April,March,1.5714285714,1.0769230769,50.33125,0.8827871273,0,0,6.35,0,100,,,,,
3759,2016,April,April,1.375,1.0873015873,40.4655555556,0.3690489589,0,0,27.76,56.25,-50.6488888889,,,,,
3791,2016,April,December,0,0,339.43,0,0,0,0,0,0,,,,,
3800,2016,April,January,4,1.0277777778,35.9766666667,-0.3451327434,0,0,49.74,0,100,,,,,
3832,2016,April,July,0,0,45,0,0,0,0,0,0,,,,,
3858,2016,April,April,4,2,197.2866666667,-0.1768312955,0,0,464.35,225.41,106.0023956346,,,,,
3875,2016,April,January,9,0,178.36,-0.1581549815,0,0,0,0,0,,,,,
3889,2016,April,January,3.5,1.02,33.0866666667,0,0,0,33.75,0,100,,,,,
3968,2016,April,January,1,0,188.47,-20.9658314351,0,0,0,0,0,,,,,
3977,2016,April,January,1.75,0.7727272727,122.784,-0.0715425239,0,0,101.67,0,100,,,,,
4028,2016,April,February,1,0,12.425,0,0,0,0,0,0,,,,,
4043,2016,April,April,2.5,1.25,61.342,-0.0600400267,0,0,81.28,13.5,502.0740740741,,,,,
4094,2016,April,January,1,0,38.275,-0.7561535937,0,0,0,0,0,,,,,
4160,2016,April,April,3,0,48.065,0,0,0,0,0,0,,,,,
4161,2016,April,January,1.6666666667,0,51.9625,0,0,0,0,81.93,-100,,,,,
4187,2016,April,January,5,0,201.01,-0.3812362999,0,0,0,0,0,,,,,
4206,2016,April,January,8,0,63.01,-0.4145137881,0,0,0,28.56,-100,,,,,
4209,2016,April,April,1.4285714286,1.1923076923,128.8075,-0.0227703108,0,0,157.08,20.79,655.5555555556,,,,,
4240,2016,April,March,1.1428571429,1.0833333333,327.65625,-0.0060880927,0,0,357.12,0,100,,,,,
4303,2016,April,January,2,0,18.53,0,0,0,0,0,0,,,,,
4329,2016,April,December,0,0,106.41,0,0,0,0,0,0,,,,,
4368,2016,April,March,2,0,251.82,-0.0312658228,0,0,0,0,0,,,,,
4370,2016,April,April,1,0,518.0554545455,0.0438358496,0,0,0,261.88,-100,,,,,
4403,2016,April,January,9,0,0,0,0,0,0,0,0,,,,,
4411,2016,April,January,1,0,334.0766666667,0,0,0,0,0,0,,,,,
4428,2016,April,December,0,0,0,0,0,0,0,0,0,,,,,
4505,2016,April,January,4.5,1.1666666667,136.5333333333,0,0,0,159.29,0,100,,,,,
4511,2016,April,July,0,0,0,0,0,0,0,0,0,,,,,
4513,2016,April,April,2.5,1.1388888889,313.438,0.0857869866,0,0,326.35,92.36,253.3456041576,,,,,
4515,2016,April,January,2.3333333333,0.9285714286,41.475,0,0,0,38.51,0,100,,,,,
4517,2016,April,March,1.2857142857,1.1,33.0275,1,0,0,0,0,0,,,,,
4557,2016,April,January,3,0,146.6,-1.5601461495,0,0,0,0,0,,,,,
4574,2016,April,January,11,0,0,0,0,0,0,0,0,,,,,
4589,2016,April,December,0,0,16.5,0,0,0,0,0,0,,,,,
4608,2016,April,January,7,0,0,0,0,0,0,0,0,,,,,
4618,2016,April,January,1.4,0.3333333333,38.425,-0.1729821102,0,0,15.02,0,100,,,,,
4632,2016,April,October,0,0,120.39,0,0,0,0,0,0,,,,,
4673,2016,April,June,0,0,255.43,0,0,0,0,0,0,,,,,
4689,2016,April,April,4,1.1111111111,14.1433333333,0,0,0,15.71,42.43,-62.9743106293,,,,,
4695,2016,April,November,0,0,107.3,0,0,0,0,0,0,,,,,
4705,2016,April,January,4.5,0,81.5566666667,0,0,0,0,0,0,,,,,
4734,2016,April,January,1,0,122.73,-1.1337859425,0,0,0,0,0,,,,,
4813,2016,April,January,1,0,0,0,0,0,0,0,0,,,,,
4825,2016,April,August,0,0,57.34,0,0,0,0,0,0,,,,,
5089,2016,April,April,1.5,0,5.9133333333,0,0,0,0,0,0,,,,,
5092,2016,April,January,8,0,500.3,-0.1732425449,0,0,0,128.74,-100,,,,,
5095,2016,April,December,0,0,141.93,0,0,0,0,0,0,,,,,
5178,2016,April,April,1,0,118.3041666667,0.0271658831,0,0,0,50.02,-100,,,,,
5200,2016,April,January,3,0,365.585,-2.0449704142,0,0,0,293.76,-100,,,,,
5238,2016,April,February,1,0,59.2,0,0,0,0,0,0,,,,,
5242,2016,April,February,1,0,70.635,0,0,0,0,0,0,,,,,
5285,2016,April,April,2,0,55.93,-0.1979036686,0,0,0,96,-100,,,,,
5324,2016,April,January,9,0,183.05,0,0,0,0,0,0,,,,,
5326,2016,April,October,0,0,667.68,0,0,0,0,0,0,,,,,
5353,2016,April,January,1.3333333333,0,80.79,-0.3118194417,0,0,0,0,0,,,,,
5400,2016,April,March,1.5,1.5,244.6466666667,0.2654373928,0,0,269.56,0,100,,,,,
5433,2016,April,March,2.6666666667,1.1785714286,61.3975,0.6291634392,0,0,26.83,0,100,,,,,
5500,2016,April,March,1.6,1.25,323.9183333333,0.4316606907,0,0,230.12,0,100,,,,,
5513,2016,April,April,1.1,1.6111111111,511.2727272727,0.0535445412,0,0,779.61,336.6,131.6131907308,,,,,
5529,2016,April,January,1,0,84.355,-0.9372976657,0,0,0,0,0,,,,,
5560,2016,April,April,1,0,234.0825,0,0,0,0,488.98,-100,,,,,
5563,2016,April,March,1.2857142857,1.1,90.8375,0.5667549237,0,0,43.29,0,100,,,,,
5574,2016,April,March,2.6666666667,1.1785714286,158.1725,-0.0907187718,0,0,203.33,0,100,,,,,
5608,2016,April,April,0,0,84.88,0,0,0,0,84.88,-100,,,,,
5614,2016,April,February,1.4285714286,0.9230769231,143.2525,-0.1330913491,0,0,149.83,0,100,,,,,
5615,2016,April,April,2,0,19.715,0,0,0,0,0,0,,,,,
5649,2016,April,January,2.6666666667,0.9642857143,458.045,-0.008804656,0,0,445.58,1014,-56.057199211,,,,,
5753,2016,April,January,1,0,154.785,0,0,0,0,309.57,-100,,,,,
5755,2016,April,January,5,0,73.43,0,0,0,0,0,0,,,,,
5764,2016,April,October,0,0,0,0,0,0,0,0,0,,,,,
5771,2016,April,March,1.375,1.0483870968,54.3633333333,0,0,0,56.99,0,100,,,,,
5772,2016,April,March,1,0,927.305,1,0,0,0,0,0,,,,,
5818,2016,April,April,1.1,1.6111111111,40.6209090909,0,0,0,65.44,127.99,-48.8710055473,,,,,
5820,2016,April,January,1.375,0.8968253968,43.7522222222,-0.102928385,0,0,43.28,0,100,,,,,
5821,2016,April,August,0,0,141.86,0,0,0,0,0,0,,,,,
5826,2016,April,March,1.6,1.25,152.235,0.489744898,0,0,97.1,0,100,,,,,
5877,2016,April,March,1.5,1.5,30.3033333333,0,0,0,45.45,0,100,,,,,
5916,2016,April,March,1.2857142857,1.1,96.0775,-0.0248628429,0,0,108.31,0,100,,,,,
5959,2016,April,January,1,0,9.795,0,0,0,0,0,0,,,,,
5962,2016,April,January,1.5,0.75,136.606,-0.1567660022,0,0,118.52,0,100,,,,,
5971,2016,April,May,0,0,0,0,0,0,0,0,0,,,,,
5976,2016,April,April,2.5,1.0735294118,71.762,1,0,0,0,12.49,-100,,,,,
5984,2016,April,November,0,0,0,0,0,0,0,0,0,,,,,
5995,2016,April,April,0,0,534.97,0,0,0,0,534.97,-100,,,,,
5996,2016,April,January,10,0,103.37,0,0,0,0,0,0,,,,,
5998,2016,April,November,0,0,0,0,0,0,0,0,0,,,,,
6022,2016,April,April,1,0,293.545,-0.0506274502,0,0,0,26.99,-100,,,,,
6056,2016,April,February,3.5,1.1666666667,193.6566666667,-0.4354832292,0,0,324.32,0,100,,,,,
6089,2016,April,January,5,0,165.595,-0.1418659638,0,0,0,0,0,,,,,
6128,2016,April,January,6,0,131.71,0,0,0,0,0,0,,,,,
6135,2016,April,December,0,0,0,0,0,0,0,0,0,,,,,
6139,2016,April,January,1.3333333333,0,116.035,-0.2414037935,0,0,0,0,0,,,,,
6141,2016,April,January,6,0,21.02,0,0,0,0,0,0,,,,,
6154,2016,April,December,0,0,93.84,0,0,0,0,0,0,,,,,
6172,2016,April,December,0,0,0,0,0,0,0,0,0,,,,,
6197,2016,April,April,1.6,1.25,42.5916666667,0,0,0,53.24,19.23,176.859074363,,,,,
6231,2016,April,March,0,0,0,0,0,0,0,0,0,,,,,
6254,2016,April,April,1,0,136.696,0.8179831219,0,0,0,209.29,-100,,,,,
6283,2016,April,April,3,1.25,311.9625,0,0,0,389.95,0,100,,,,,
6291,2016,April,January,4,0,182.385,0,0,0,0,0,0,,,,,
6314,2016,April,January,1.1666666667,0,285.2357142857,-0.0399134833,0,0,0,0,0,,,,,
6322,2016,April,December,0,0,477.19,0,0,0,0,0,0,,,,,
6324,2016,April,March,3,1.0714285714,152.525,0,0,0,163.42,0,100,,,,,
6332,2016,April,January,2.75,0.9901960784,126.316,0,0,0,125.08,0,100,,,,,
6339,2016,April,December,0,0,470.81,0,0,0,0,0,0,,,,,
6350,2016,April,April,1,0,280.185,0.1410643024,0,0,0,119.78,-100,,,,,
6357,2016,April,January,1,0,151.18,-0.6168151879,0,0,0,0,0,,,,,
6371,2016,April,April,1,0,123.0108333333,0,0,0,0,157.81,-100,,,,,
6425,2016,April,January,8,0,0,0,0,0,0,0,0,,,,,
6429,2016,April,January,2,0.75,127.465,-0.1438892234,0,0,109.35,0,100,,,,,
6435,2016,April,February,3.6666666667,1.078125,462.7575,1,0,0,0,0,0,,,,,
6446,2016,April,January,5.5,1.0510204082,22.0366666667,-0.808678501,0,0,41.89,0,100,,,,,
6447,2016,April,December,0,0,11.4,0,0,0,0,0,0,,,,,
6494,2016,April,April,1,0,39.81,-28.347826087,0,0,0,40.5,-100,,,,,
6499,2016,April,April,3,0,415.0233333333,-0.147187109,0,0,0,981.04,-100,,,,,
6503,2016,April,May,0,0,14.97,0,0,0,0,0,0,,,,,
6527,2016,April,March,3,1.1666666667,58.99,0,0,0,68.82,0,100,,,,,
6560,2016,April,March,4.5,1.0714285714,90.6366666667,0,0,0,97.11,0,100,,,,,
6608,2016,April,April,1.5,1.2142857143,434.09,-0.0062645023,0,0,530.41,551.13,-3.7595485639,,,,,
6639,2016,April,April,1.2222222222,1.3928571429,241.365,0.1782841,0,0,276.25,377.59,-26.8386344977,,,,,
6645,2016,April,February,3,0,0,0,0,0,0,0,0,,,,,
6659,2016,April,January,1.75,0.7727272727,337.922,-0.9505236162,0,0,509.32,0,100,,,,,
6672,2016,April,April,1,0,668.9816666667,1,0,0,0,387.58,-100,,,,,
6673,2016,April,March,1.375,1.1,129.8133333333,0.2531566963,0,0,106.65,0,100,,,,,
6677,2016,April,February,2.5,1.05,138.706,-0.2134625191,0,0,176.73,0,100,,,,,
6705,2016,April,January,2.6666666667,0.9375,130.7125,-0.3899565002,0,0,170.33,114.9,48.2419495213,,,,,
6727,2016,April,January,1.1428571429,0,138.50625,-0.0515202462,0,0,0,312.06,-100,,,,,
6732,2016,April,April,1.4,1.5833333333,31.5,0,0,0,49.88,22.59,120.805666224,,,,,
6734,2016,April,April,1.75,1.1296296296,132.676,0.005436615,0,0,149.06,134.45,10.8664931201,,,,,
6764,2016,April,February,6,0,0,0,0,0,0,0,0,,,,,
6793,2016,April,June,0,0,73.57,0,0,0,0,0,0,,,,,
6861,2016,April,March,1.3333333333,1.25,56.4425,1,0,0,0,0,0,,,,,
6866,2016,April,May,0,0,110.57,0,0,0,0,0,0,,,,,
6867,2016,April,January,3.3333333333,1.0051020408,150.35,-0.0260717155,0,0,155.06,0,100,,,,,
6892,2016,April,April,1.3333333333,1.5,431.4857142857,0.2509912699,0,0,484.78,2336.1,-79.2483198493,,,,,
6914,2016,April,May,0,0,712.31,0,0,0,0,0,0,,,,,
6957,2016,April,January,2.5,0.5,26.2033333333,-0.450297899,0,0,19,18,5.5555555556,,,,,
7004,2016,April,January,1.5,0.25,3.538,0,0,0,0.88,0,100,,,,,
7113,2016,April,January,5,1.125,66.51,0,0,0,74.82,0,100,,,,,
7128,2016,April,November,0,0,44.85,0,0,0,0,0,0,,,,,
7130,2016,April,April,1,0,114.2725,0.2372845286,0,0,0,37.69,-100,,,,,
7143,2016,April,April,1,0,855.59,-0.0808959318,0,0,0,1592.03,-100,,,,,
7183,2016,April,April,1.1,1.6111111111,146.5145454545,0.1660106153,0,0,196.86,19.48,910.5749486653,,,,,
7198,2016,April,March,1.2222222222,1.0714285714,83.637,0.2184587108,0,0,70.03,0,100,,,,,
7203,2016,April,January,10,0,69.57,0,0,0,0,0,0,,,,,
7226,2016,April,November,0,0,56.17,0,0,0,0,0,0,,,,,
7232,2016,April,March,0,0,0,0,0,0,0,0,0,,,,,
7241,2016,April,March,7,0,4.425,0,0,0,0,0,0,,,,,
7264,2016,April,January,1,0,162.515,0,0,0,0,0,0,,,,,
7265,2016,April,January,1,0,52.82,-1.6808422791,0,0,0,0,0,,,,,
7270,2016,April,March,3.6666666667,1.2857142857,397.2575,0.0521356826,0,0,484.13,0,100,,,,,
7285,2016,April,December,0,0,0,0,0,0,0,0,0,,,,,
7346,2016,April,January,2.25,0.9444444444,57.1,-0.0683659356,0,0,57.61,0,100,,,,,
7413,2016,April,September,0,0,1042.3,0,0,0,0,0,0,,,,,
7436,2016,April,April,1.5,1.2142857143,17.6285714286,0,0,0,21.41,14.69,45.7454050374,,,,,
7464,2016,April,April,1.1,1.6111111111,70.0545454545,0.3758630213,0,0,70.44,65.91,6.8730086482,,,,,
7475,2016,April,April,1.1111111111,1.625,94.893,0,0,0,154.2,63.11,144.3352875931,,,,,
7476,2016,April,January,2,0.75,268.8666666667,0,0,0,201.65,0,100,,,,,
7501,2016,April,May,0,0,96.27,0,0,0,0,0,0,,,,,
7503,2016,April,April,1.2222222222,1.3928571429,36.493,0.0262187628,0,0,49.5,22.29,122.0726783311,,,,,
7525,2016,April,May,0,0,0,0,0,0,0,0,0,,,,,
7540,2016,April,February,3.3333333333,1.0322580645,199.55,1,0,0,0,0,0,,,,,
7576,2016,April,March,1.6,1.25,88.7416666667,0.0690865284,0,0,103.26,0,100,,,,,
7578,2016,April,March,3,1.125,12.6,0,0,0,14.17,0,100,,,,,
7597,2016,April,February,6,0,0,0,0,0,0,0,0,,,,,
7622,2016,April,February,0,0,89.25,0,0,0,0,0,0,,,,,
7689,2016,April,January,5,0,65.93,0,0,0,0,0,0,,,,,
7703,2016,April,June,0,0,0,0,0,0,0,0,0,,,,,
7728,2016,April,March,2.25,1.0581395349,58.7,0,0,0,62.11,0,100,,,,,
7730,2016,April,February,4,0,267.93,-0.0659695817,0,0,0,0,0,,,,,
7766,2016,April,March,2,1.25,174.5175,0,0,0,218.15,0,100,,,,,
7785,2016,April,June,0,0,18,0,0,0,0,0,0,,,,,
7786,2016,April,March,1.8333333333,1.0609756098,46.8614285714,0,0,0,49.72,0,100,,,,,
7816,2016,April,April,1.3333333333,1.5,113.55,0.3208021323,0,0,115.68,51.94,122.7185213708,,,,,
7852,2016,April,January,2,0,140.12,-11.4965753425,0,0,0,0,0,,,,,
7874,2016,April,February,0,0,580.41,0,0,0,0,0,0,,,,,
7890,2016,April,February,2.5,1.0227272727,97.926,1,0,0,0,0,0,,,,,
7923,2016,April,August,0,0,0,0,0,0,0,0,0,,,,,
7973,2016,April,April,0,0,0,0,0,0,0,0,0,,,,,
8037,2016,April,April,1,0,508.8208333333,0.052709183,0,0,0,53.95,-100,,,,,
8069,2016,April,April,2,0,360.25,0,0,0,0,0,0,,,,,
8071,2016,April,January,1,0,828.175,-0.3658842595,0,0,0,349.95,-100,,,,,
8072,2016,April,April,1.1,1.6111111111,197.4663636364,0.2335623888,0,0,243.83,232.4,4.9182444062,,,,,
8087,2016,April,January,2,0,12.715,0,0,0,0,0,0,,,,,
